id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36130173,(PE3a)shareflat room at prince edward,7518056,Jovee,,Yau Tsim Mong,22.32434,114.16681,Private room,170,29,0,,,225,364,0,
36147354,Sai Yun Pun room for 1 person with lift ( s3e),4584648,Ivy,,Wan Chai,22.25776,114.19053,Private room,180,29,0,,,323,364,0,
36166073,Convenient Room Available Causeway Bay (C2a),4584648,Ivy,,Wan Chai,22.25791,114.19208,Private room,180,29,0,,,323,364,0,
36166094,SALE SALE SALE temporary room for 1 person,4584648,Ivy,,Wan Chai,22.25839,114.19009,Private room,95,29,0,,,323,364,0,
36166358,Causeway Bay Room Available 4/walkup ( C2b),4584648,Ivy,,Wan Chai,22.25847,114.19203,Private room,180,29,0,,,323,364,0,
36168127,Affordable Room located Causeway Bay 4/walkup(C2e),4584648,Ivy,,Wan Chai,22.25991,114.19085,Private room,180,29,0,,,323,364,0,
36169011,Causeway Bay room -- walk to Times Square ( c2f),4584648,Ivy,,Wan Chai,22.25794,114.19033,Private room,160,30,0,,,323,364,0,
36172237,NEW_Modern&Comfy_3Room2Bath Causeway Bay,31255164,Chan,,Wan Chai,22.27817,114.18883,Entire home/apt,1396,3,73,2024-03-09,1.28,2,152,43,
36184134,Stunning full harbour view new aparment in CWB,5603299,Simon,,Wan Chai,22.25942,114.19018,Entire home/apt,766,365,0,,,1,365,0,
36253395,BIG GROUP 5 Bedrooms + 5 bathrooms 1min to MTR A2,18741935,Helen,,Yau Tsim Mong,22.29796,114.17143,Entire home/apt,2026,1,1,2019-09-20,0.02,12,324,0,
36280912,1 BDR Apt Downtown Sleeps 8ppl E14 Next to MTR,18741935,Helen,,Yau Tsim Mong,22.30555,114.17278,Entire home/apt,1132,1,7,2023-12-30,0.12,12,214,1,
36281428,♡ LUXURY City Center 3 Bdr sleeps 3-9 Next by MRT,18741935,Helen,,Yau Tsim Mong,22.30617,114.17138,Entire home/apt,1266,1,11,2024-03-10,0.19,12,299,10,
36296071,"PALATIAL STUDIO ON WING LOK STREET, SHEUNG WAN",138649185,Apac,,Wan Chai,22.25799,114.19199,Entire home/apt,725,28,0,,,135,364,0,
36299140,INTER-CONNECTING STUDIOS AT GLOUCESTER RD- HK,138649185,Apac,,Wan Chai,22.25996,114.19145,Entire home/apt,900,30,0,,,135,364,0,
36300977,Room Near HKU is now available kennedy town (K1c),4584648,Ivy,,Wan Chai,22.25961,114.19196,Private room,160,29,0,,,323,364,0,
36301557,Studio Room Available located @ kennedy town (K1a),4584648,Ivy,,Wan Chai,22.25968,114.19163,Private room,217,29,0,,,323,364,0,
36328611,9號@金馬倫賓館 舒適雙人房+獨立浴室,28140685,Angel,,Yau Tsim Mong,22.29791,114.17096,Private room,377,1,57,2024-03-10,1.11,14,33,41,
36331529,旺角銀行中心零距離（拉斯維加斯）Las Vegas Homestay 旅遊民宿mongkok MTR,247070196,Las Vegas,,Yau Tsim Mong,22.31932,114.16871,Entire home/apt,1650,1,4,2023-11-16,0.07,4,263,1,
36359828,Yau Ma Tei room very close to MTR,4584648,Ivy,,Wan Chai,22.25775,114.19138,Private room,170,30,1,2020-12-01,0.02,323,364,0,
36375697,(HF) 佐敦，鄰近港鐵及高鐵站，交通方便，毗鄰大型購物廣場及九龍公園。2房大廳，溫馨洋溢。,240790745,Samson,,Yau Tsim Mong,22.30412,114.17029,Entire home/apt,914,28,46,2024-03-02,0.81,14,123,28,
36396333,ZA Newly renovated (Quarry Bay) Explore like local,6067974,Wilson,,Eastern,22.28661,114.210991,Entire home/apt,1400,30,4,2022-04-30,0.08,63,90,0,
36402054,"360 sea-view,Unforgettable Memories in LivingBoat",31520347,San,,Islands,22.21923,114.10346,Private room,2599,1,34,2022-05-15,0.59,3,364,0,
36419732,Two Bedroom Private apt 2 Min walk to Mong kok MTR,3820308,David,,Yau Tsim Mong,22.32213,114.16974,Entire home/apt,1629,1,8,2023-05-14,0.35,29,356,1,
36443224,市區中心&尖沙咀地鐵站的單床房,116364906,Kiki,,Yau Tsim Mong,22.29774,114.17168,Private room,,1,14,2023-11-08,0.25,8,268,1,
36463269,旺角地鐵站&新興大廈雙床房,116364906,Kiki,,Yau Tsim Mong,22.31578,114.16984,Private room,399,1,1,2019-09-30,0.02,8,363,0,
36502916,"110SQ FT STUDIO, PO HING FONG RD, SHEUNG WAN",156409670,Tushita,,Wan Chai,22.25761,114.19056,Entire home/apt,350,25,0,,,88,364,0,
36505402,Cheap and Comfort Yau Ma Tei Room (Y2bs),7518056,Jovee,,Yau Tsim Mong,22.31231,114.17156,Private room,200,29,0,,,225,365,0,
36507803,学生宿舍 (月租),132767139,Dorm Hong Kong,,Yau Tsim Mong,22.32102,114.16959,Private room,300,14,7,2023-09-22,0.15,13,365,1,
36511323,學生宿舍 九龍旺角 (月租),132767139,Dorm Hong Kong,,Kowloon City,22.31835,114.18077,Private room,300,20,2,2022-09-21,0.04,13,365,0,
36534013,Central Room for 1 person near Escalator (ML7d,7518056,Jovee,,Wan Chai,22.25835,114.18994,Private room,160,29,0,,,225,364,0,
36573397,"最地道的香港住宿體驗 - 【CO:Room#2】
深水埗女生共享居住空間",260288670,Co-Living,,Yau Tsim Mong,22.32623,114.16296,Private room,249,30,1,2019-08-25,0.02,3,144,0,
36628083,HongKong Causeway Bay Room for rent,187780299,Man Ping,,Wan Chai,22.28127,114.18534,Private room,498,1,7,2024-03-15,0.12,2,164,4,
36630869,HK Apartment with 4 Private BRs for 8 ppl max,49929481,Mandy,,Sha Tin,22.37624,114.17856,Private room,200,28,4,2023-01-30,0.07,5,328,0,
36658997,Good and Comfort Sham Shui Po Room (SP3A),7518056,Jovee,,Sham Shui Po,22.32843,114.16058,Private room,160,29,0,,,225,364,0,
36661253,單人套房 (獨立浴厠),132767139,Dorm Hong Kong,,Yau Tsim Mong,22.32033,114.17184,Private room,314,3,11,2024-02-12,0.21,13,365,4,
36681997,"STUDIO FOR SHORT STAY, TUNG STREET",156409670,Tushita,,Wan Chai,22.25973,114.1901,Entire home/apt,400,26,0,,,88,364,0,
36708790,Studio Room Available in Mong kok (MK1a),67709885,Steven,,Wan Chai,22.25975,114.19186,Private room,160,29,0,,,282,364,0,
